transaction_id,sender_account,receiver_account,amount,timestamp
T1,A1327,A1057,2815.61,2024-01-01 00:00:00
T2,A1012,A1379,18060.73,2024-01-01 00:01:00
T3,A1140,A1125,7900.47,2024-01-01 00:02:00
T4,A1114,A1071,5477.66,2024-01-01 00:03:00
T5,A1377,A1052,1017.75,2024-01-01 00:04:00
T6,A1346,A1379,1017.58,2024-01-01 00:05:00
T7,A1456,A1279,359.03,2024-01-01 00:06:00
T8,A1044,A1302,12067.39,2024-01-01 00:07:00
T9,A1216,A1016,5514.49,2024-01-01 00:08:00
T10,A1015,A1047,7387.5,2024-01-01 00:09:00
T11,A1111,A1119,124.8,2024-01-01 00:10:00
T12,A1258,A1308,21021.34,2024-01-01 00:11:00
T13,A1013,A1287,10718.58,2024-01-01 00:12:00
T14,A1101,A1366,1432.13,2024-01-01 00:13:00
T15,A1332,A1359,1204.07,2024-01-01 00:14:00
T16,A1279,A1214,1215.67,2024-01-01 00:15:00
T17,A1112,A1229,2176.52,2024-01-01 00:16:00
T18,A1301,A1142,4463.57,2024-01-01 00:17:00
T19,A1414,A1445,3393.22,2024-01-01 00:18:00
T20,A1003,A1388,2065.34,2024-01-01 00:19:00
T21,A1412,A1081,5678.23,2024-01-01 00:20:00
T22,A1357,A1216,901.41,2024-01-01 00:21:00
T23,A1174,A1142,2073.09,2024-01-01 00:22:00
T24,A1079,A1110,2737.66,2024-01-01 00:23:00
T25,A1490,A1390,3653.61,2024-01-01 00:24:00
T26,A1172,A1052,9227.62,2024-01-01 00:25:00
T27,A1047,A1194,1336.42,2024-01-01 00:26:00
T28,A1049,A1183,4332.17,2024-01-01 00:27:00
T29,A1433,A1176,5385.03,2024-01-01 00:28:00
T30,A1309,A1135,285.38,2024-01-01 00:29:00
T31,A1413,A1022,5612.0,2024-01-01 00:30:00
T32,A1373,A1235,1121.77,2024-01-01 00:31:00
T33,A1274,A1063,403.58,2024-01-01 00:32:00
T34,A1498,A1472,17842.13,2024-01-01 00:33:00
T35,A1193,A1040,20223.78,2024-01-01 00:34:00
T36,A1282,A1150,9913.99,2024-01-01 00:35:00
T37,A1424,A1321,2179.73,2024-01-01 00:36:00
T38,A1316,A1453,616.66,2024-01-01 00:37:00
T39,A1441,A1185,6916.5,2024-01-01 00:38:00
T40,A1295,A1098,3480.55,2024-01-01 00:39:00
T41,A1360,A1035,780.91,2024-01-01 00:40:00
T42,A1023,A1338,4101.28,2024-01-01 00:41:00
T43,A1116,A1395,209.96,2024-01-01 00:42:00
T44,A1148,A1040,14402.54,2024-01-01 00:43:00
T45,A1437,A1119,1796.75,2024-01-01 00:44:00
T46,A1443,A1051,6517.53,2024-01-01 00:45:00
T47,A1194,A1142,2241.28,2024-01-01 00:46:00
T48,A1232,A1325,4404.67,2024-01-01 00:47:00
T49,A1427,A1186,4747.34,2024-01-01 00:48:00
T50,A1083,A1189,1226.33,2024-01-01 00:49:00
T51,A1181,A1107,20956.84,2024-01-01 00:50:00
T52,A1343,A1136,8953.47,2024-01-01 00:51:00
T53,A1359,A1479,16830.57,2024-01-01 00:52:00
T54,A1349,A1331,13512.91,2024-01-01 00:53:00
T55,A1036,A1311,5466.33,2024-01-01 00:54:00
T56,A1325,A1087,15296.61,2024-01-01 00:55:00
T57,A1273,A1373,555.93,2024-01-01 00:56:00
T58,A1125,A1083,1308.81,2024-01-01 00:57:00
T59,A1236,A1194,277.69,2024-01-01 00:58:00
T60,A1138,A1473,2361.19,2024-01-01 00:59:00
T61,A1327,A1352,2952.78,2024-01-01 01:00:00
T62,A1285,A1112,1899.36,2024-01-01 01:01:00
T63,A1350,A1166,10587.35,2024-01-01 01:02:00
T64,A1431,A1393,2647.36,2024-01-01 01:03:00
T65,A1397,A1028,1978.82,2024-01-01 01:04:00
T66,A1117,A1420,4694.44,2024-01-01 01:05:00
T67,A1016,A1412,911.39,2024-01-01 01:06:00
T68,A1161,A1205,9722.9,2024-01-01 01:07:00
T69,A1137,A1033,464.86,2024-01-01 01:08:00
T70,A1108,A1467,26004.88,2024-01-01 01:09:00
T71,A1482,A1290,8876.9,2024-01-01 01:10:00
T72,A1448,A1367,1329.24,2024-01-01 01:11:00
T73,A1161,A1108,33.22,2024-01-01 01:12:00
T74,A1335,A1255,10139.38,2024-01-01 01:13:00
T75,A1202,A1452,7362.58,2024-01-01 01:14:00
T76,A1468,A1329,7833.98,2024-01-01 01:15:00
T77,A1234,A1073,8851.29,2024-01-01 01:16:00
T78,A1135,A1071,461.58,2024-01-01 01:17:00
T79,A1126,A1381,2663.36,2024-01-01 01:18:00
T80,A1287,A1275,738.9,2024-01-01 01:19:00
T81,A1134,A1382,11931.18,2024-01-01 01:20:00
T82,A1299,A1219,5857.81,2024-01-01 01:21:00
T83,A1459,A1298,2410.91,2024-01-01 01:22:00
T84,A1204,A1185,394.01,2024-01-01 01:23:00
T85,A1112,A1070,2234.93,2024-01-01 01:24:00
T86,A1260,A1252,2359.89,2024-01-01 01:25:00
T87,A1046,A1386,7847.25,2024-01-01 01:26:00
T88,A1024,A1440,6089.34,2024-01-01 01:27:00
T89,A1056,A1078,13093.51,2024-01-01 01:28:00
T90,A1321,A1081,3834.4,2024-01-01 01:29:00
T91,A1405,A1348,764.23,2024-01-01 01:30:00
T92,A1216,A1305,7494.76,2024-01-01 01:31:00
T93,A1032,A1197,8582.36,2024-01-01 01:32:00
T94,A1195,A1305,4943.32,2024-01-01 01:33:00
T95,A1239,A1270,8843.34,2024-01-01 01:34:00
T96,A1128,A1497,4084.89,2024-01-01 01:35:00
T97,A1283,A1440,4438.07,2024-01-01 01:36:00
T98,A1482,A1005,3346.89,2024-01-01 01:37:00
T99,A1348,A1369,154.49,2024-01-01 01:38:00
T100,A1058,A1349,685.0,2024-01-01 01:39:00
T101,A1453,A1274,191.6,2024-01-01 01:40:00
T102,A1384,A1136,6070.38,2024-01-01 01:41:00
T103,A1393,A1328,2264.38,2024-01-01 01:42:00
T104,A1174,A1057,4262.62,2024-01-01 01:43:00
T105,A1150,A1222,14287.59,2024-01-01 01:44:00
T106,A1080,A1232,1720.43,2024-01-01 01:45:00
T107,A1001,A1488,3169.69,2024-01-01 01:46:00
T108,A1369,A1448,8452.49,2024-01-01 01:47:00
T109,A1368,A1134,1558.83,2024-01-01 01:48:00
T110,A1497,A1256,480.63,2024-01-01 01:49:00
T111,A1390,A1091,2052.84,2024-01-01 01:50:00
T112,A1259,A1467,1054.85,2024-01-01 01:51:00
T113,A1054,A1445,15929.7,2024-01-01 01:52:00
T114,A1320,A1152,9905.32,2024-01-01 01:53:00
T115,A1430,A1327,6020.97,2024-01-01 01:54:00
T116,A1259,A1311,12309.12,2024-01-01 01:55:00
T117,A1101,A1078,9767.81,2024-01-01 01:56:00
T118,A1191,A1390,1238.97,2024-01-01 01:57:00
T119,A1082,A1276,13384.88,2024-01-01 01:58:00
T120,A1488,A1398,4650.6,2024-01-01 01:59:00
T121,A1472,A1271,9884.09,2024-01-01 02:00:00
T122,A1470,A1000,13585.46,2024-01-01 02:01:00
T123,A1306,A1165,2296.38,2024-01-01 02:02:00
T124,A1250,A1009,699.55,2024-01-01 02:03:00
T125,A1057,A1475,1552.12,2024-01-01 02:04:00
T126,A1185,A1449,3342.35,2024-01-01 02:05:00
T127,A1425,A1413,10222.98,2024-01-01 02:06:00
T128,A1157,A1122,11828.07,2024-01-01 02:07:00
T129,A1029,A1123,41.86,2024-01-01 02:08:00
T130,A1449,A1290,4289.26,2024-01-01 02:09:00
T131,A1484,A1040,3241.64,2024-01-01 02:10:00
T132,A1043,A1374,1507.0,2024-01-01 02:11:00
T133,A1248,A1417,766.08,2024-01-01 02:12:00
T134,A1035,A1389,2471.45,2024-01-01 02:13:00
T135,A1272,A1392,17178.73,2024-01-01 02:14:00
T136,A1064,A1065,2342.3,2024-01-01 02:15:00
T137,A1337,A1243,4388.72,2024-01-01 02:16:00
T138,A1484,A1281,7284.52,2024-01-01 02:17:00
T139,A1084,A1135,2711.85,2024-01-01 02:18:00
T140,A1270,A1446,21406.79,2024-01-01 02:19:00
T141,A1310,A1216,19692.06,2024-01-01 02:20:00
T142,A1493,A1108,1740.37,2024-01-01 02:21:00
T143,A1475,A1276,4125.96,2024-01-01 02:22:00
T144,A1386,A1373,2147.58,2024-01-01 02:23:00
T145,A1353,A1102,2011.5,2024-01-01 02:24:00
T146,A1365,A1159,225.51,2024-01-01 02:25:00
T147,A1204,A1343,5642.95,2024-01-01 02:26:00
T148,A1332,A1191,4191.12,2024-01-01 02:27:00
T149,A1224,A1460,317.11,2024-01-01 02:28:00
T150,A1264,A1231,1959.76,2024-01-01 02:29:00
T151,A1061,A1126,14333.17,2024-01-01 02:30:00
T152,A1115,A1032,1643.16,2024-01-01 02:31:00
T153,A1173,A1010,939.19,2024-01-01 02:32:00
T154,A1301,A1283,4033.63,2024-01-01 02:33:00
T155,A1117,A1301,25464.22,2024-01-01 02:34:00
T156,A1112,A1003,1662.87,2024-01-01 02:35:00
T157,A1036,A1362,6690.93,2024-01-01 02:36:00
T158,A1323,A1030,8603.33,2024-01-01 02:37:00
T159,A1117,A1034,1628.0,2024-01-01 02:38:00
T160,A1463,A1016,7816.49,2024-01-01 02:39:00
T161,A1440,A1169,2751.14,2024-01-01 02:40:00
T162,A1036,A1263,6003.02,2024-01-01 02:41:00
T163,A1121,A1142,6023.03,2024-01-01 02:42:00
T164,A1342,A1248,4604.31,2024-01-01 02:43:00
T165,A1109,A1276,567.77,2024-01-01 02:44:00
T166,A1067,A1370,10821.87,2024-01-01 02:45:00
T167,A1478,A1451,2320.86,2024-01-01 02:46:00
T168,A1292,A1295,1238.59,2024-01-01 02:47:00
T169,A1242,A1124,249.78,2024-01-01 02:48:00
T170,A1401,A1242,5362.67,2024-01-01 02:49:00
